store,city,address,url
4004,Acton,"Acton, 332 Queen Street",http://www.thebeerstore.ca/locations/acton
2115,Ajax,"Ajax, 1953 Ravenscroft Road",http://www.thebeerstore.ca/locations/ajax-1
2106,Ajax,"Ajax, 95 Commercial Plaza",http://www.thebeerstore.ca/locations/ajax
2113,Ajax,"Ajax, Heritage Market Square, 75 Kingston Road E.",http://www.thebeerstore.ca/locations/ajax-0
3426,Alcona,"Alcona, 945 Innisfil Beach Road",http://www.thebeerstore.ca/locations/alcona
4354,Alexandria,"Alexandria, 118 Main St. N.",http://www.thebeerstore.ca/locations/alexandria
3404,Alliston,"Alliston, 161 Young St.",http://www.thebeerstore.ca/locations/alliston
4656,Almonte,"Almonte, 113 High Street",http://www.thebeerstore.ca/locations/almonte
3263,Amherstburg,"Amherstburg, 80 Park Street",http://www.thebeerstore.ca/locations/amherstburg
4506,Amherstview,"Amherstview, 4501 Bath Road",http://www.thebeerstore.ca/locations/amherstview
4064,Ancaster,"Ancaster, 44 Wilson Street West",http://www.thebeerstore.ca/locations/ancaster
3405,Angus,"Angus, 17 King Street",http://www.thebeerstore.ca/locations/angus
4657,Arnprior,"Arnprior, 120 Madawaska Blvd.",http://www.thebeerstore.ca/locations/arnprior
3491,Atikokan,"Atikokan, 711 Mackenzie St E",http://www.thebeerstore.ca/locations/atikokan
3430,Aurora,"Bayview & St. Johns, 15820 Bayview Avenue",http://www.thebeerstore.ca/locations/bayview-st-johns
3406,Aurora,"Yonge Street, Aurora Shopping Centre, 14800 Yonge Street",http://www.thebeerstore.ca/locations/yonge-street
3115,Aylmer,"Aylmer, 371 John Street N.",http://www.thebeerstore.ca/locations/aylmer
3605,Azilda,"Azilda, 93 Notre Dame St. E.",http://www.thebeerstore.ca/locations/azilda
3407,Bala,"Bala, 3025 Hwy. #169",http://www.thebeerstore.ca/locations/bala
4704,Bancroft,"Bancroft, 1 Madawaksa St",http://www.thebeerstore.ca/locations/bancroft
3401,Barrie,"Anne/George, 30 Anne Street South",http://www.thebeerstore.ca/locations/annegeorge
3428,Barrie,"Barrie, 71 Mapleview Drive",http://www.thebeerstore.ca/locations/barrie
3403,Barrie,"Bayfield St., 531 Bayfield Street",http://www.thebeerstore.ca/locations/bayfield-st
3402,Barrie,"Blake St., Simcoe Plaza, 299 Blake Street",http://www.thebeerstore.ca/locations/blake-st
3429,Barrie,"Yonge St Barrie, 640 Yonge Street",http://www.thebeerstore.ca/locations/yonge-st-barrie
4691,Barrys Bay,"Barry's Bay, 19619 Opeongo Line",http://www.thebeerstore.ca/locations/barrys-bay
4207,Beamsville,"Beamsville, 4313 Ontario Street",http://www.thebeerstore.ca/locations/beamsville
4552,Beaverton,"Beaverton, 553 Mara Road",http://www.thebeerstore.ca/locations/beaverton
3264,Belle River,"Belle River, 399 Notre Dame Street",http://www.thebeerstore.ca/locations/belle-river
4302,Belleville,"Front St. S., 91 Front St. S.",http://www.thebeerstore.ca/locations/front-st-s
4301,Belleville,"Station St., 113 Station Street",http://www.thebeerstore.ca/locations/station-st
3054,Blenheim,"Blenheim, 100 Marlborough St N",http://www.thebeerstore.ca/locations/blenheim
3594,Blind River,"Blind River, 115 Causley Street",http://www.thebeerstore.ca/locations/blind-river
4553,Bobcaygeon,"Bobcaygeon, 25 King St. E.",http://www.thebeerstore.ca/locations/bobcaygeon
2007,Bolton,"Bolton, 150 Mcewan Drive East",http://www.thebeerstore.ca/locations/bolton
3055,Bothwell,"Bothwell, 160 Oak Street West",http://www.thebeerstore.ca/locations/bothwell
2107,Bowmanville,"Bowmanville, 195 King St. E.",http://www.thebeerstore.ca/locations/bowmanville
